,word,x,y
0,QS,-23.28111457824707,25.232202529907227
1,Enterprises,-23.320430755615234,25.250465393066406
2,Ltd,-23.453807830810547,25.30722999572754
3,From,-24.55242156982422,47.91066360473633
4,Wikipedia,-24.676219940185547,48.18349838256836
5,the,-16.274263381958008,-11.27881145477295
6,free,-24.84294891357422,48.56653594970703
7,encyclopedia,-24.701250076293945,48.23732376098633
8,in,-16.416481018066406,-10.985705375671387
9,Queen,-24.406618118286133,22.610610961914062
10,Square,-24.68993377685547,22.8514347076416
11,Central,-20.41189193725586,17.24488639831543
12,London,-22.681787490844727,21.77825355529785
13,is,-16.28428077697754,-13.02119255065918
14,a,-16.3845157623291,-11.778890609741211
15,owned,-36.35926818847656,9.466605186462402
16,of,-16.383346557617188,-11.311103820800781
17,University,-21.827953338623047,20.718599319458008
18,College,-22.475460052490234,22.83843994140625
19,Charity,-22.264822006225586,24.349632263183594
20,It,23.710935592651367,-19.60271453857422
21,was,-16.317440032958984,-9.958983421325684
22,first,0.12419404089450836,11.765613555908203
23,health,32.581668853759766,9.468835830688477
24,social,-4.555229187011719,18.384689331054688
25,enterprise,-4.403564453125,18.917402267456055
26,its,7.200473785400391,48.207908630371094
27,kind,-12.124897003173828,-32.49155044555664
28,United,-26.82579231262207,44.4389533996582
29,Kingdom,-19.081829071044922,27.971702575683594
30,and,-16.322568893432617,-11.269965171813965
31,remains,-4.046093463897705,19.65127182006836
32,one,-21.54022216796875,-10.171379089355469
33,few,30.06155014038086,-7.839024066925049
34,independent,-15.020352363586426,-40.57515335083008
35,organisations,-10.878874778747559,-41.556941986083984
36,working,-20.73773956298828,24.40505599975586
37,for,-16.999935150146484,-12.47424602508545
38,direct,39.19357681274414,-11.206507682800293
39,benefit,21.33233642578125,-21.74209976196289
40,an,-15.30866527557373,-13.143375396728516
41,NHS,-21.726848602294922,23.979162216186523
42,institution,-25.3346004486084,-23.228443145751953
43,Since,-0.9962795972824097,38.84537887573242
44,has,2.579519271850586,25.81321907043457
45,donated,-22.57129669189453,25.18878173828125
46,excess,29.262420654296875,-18.621469497680664
47,million,14.758211135864258,35.664039611816406
48,to,-16.23440170288086,-11.601866722106934
49,that,-15.526449203491211,-12.173420906066895
50,make,30.477497100830078,24.772287368774414
51,up,-8.957369804382324,48.2780647277832
52,Trust,-22.03534698486328,23.871889114379883
53,now,-22.845876693725586,19.0263671875
54,operates,-21.758005142211914,19.10258674621582
55,across,-23.775068283081055,11.508993148803711
56,two,14.257281303405762,-15.019072532653809
57,which,-14.7548189163208,-10.258017539978027
58,works,-20.592134475708008,21.63964080810547
59,partnership,-25.921995162963867,21.803848266601562
60,with,-15.328125,-11.210103988647461
61,The,-17.866106033325195,-10.070329666137695
62,National,-28.276870727539062,15.278754234313965
63,Hospital,-23.802366256713867,22.0722599029541
64,Neurology,-23.940961837768555,22.320646286010742
65,Neurosurgery,-23.956336975097656,22.22724723815918
66,Centre,-9.715068817138672,23.77676773071289
67,dedicated,-24.46609115600586,21.417448043823242
68,research,-17.583837509155273,21.321645736694336
69,on,-14.711616516113281,-11.86257266998291
70,History,-26.711502075195312,19.808080673217773
71,edit,-4.7012248039245605,35.16852569580078
72,formed,-15.543598175048828,14.70388412475586
73,September,-44.342140197753906,-18.490995407104492
74,order,43.1677131652832,-35.19798278808594
75,fund,-23.63499641418457,23.306411743164062
76,new,-10.818418502807617,20.715190887451172
77,provided,-0.4275714159011841,-15.15627670288086
78,capacity,31.732200622558594,29.991260528564453
79,as,-17.32747459411621,-11.754775047302246
80,well,10.178855895996094,24.13826560974121
81,creating,44.75423049926758,-18.6184139251709
82,reliable,15.775257110595703,23.385250091552734
83,income,-22.06561851501465,-18.722949981689453
84,stream,43.112388610839844,-24.70914649963379
85,hospital,16.077051162719727,22.071636199951172
86,from,-17.65018653869629,-11.09208869934082
87,private,0.40152421593666077,-30.599369049072266
88,service,-18.158781051635742,-32.64450454711914
89,Following,-19.168128967285156,25.200986862182617
90,UCLH,-21.943437576293945,24.363018035888672
91,joined,-21.058908462524414,26.635499954223633
92,forces,25.541709899902344,-25.323728561401367
93,s,-16.98777198791504,-10.438313484191895
94,made,20.758594512939453,-31.17837905883789
95,by,-15.60653305053711,-10.469462394714355
96,profits,-21.763505935668945,24.93476104736328
97,have,-13.807065963745117,-10.995492935180664
98,been,0.9471777677536011,25.0031681060791
99,used,5.660449028015137,0.7219120860099792
100,number,19.19835090637207,-39.46883773803711
101,key,-20.375301361083984,23.28553009033203
102,around,21.62529754638672,-43.93785858154297
103,including,-7.000166416168213,34.35940933227539
104,at,-15.526277542114258,-9.2540864944458
105,n,13.449605941772461,-44.28654479980469
106,series,11.98265552520752,-39.552059173583984
107,sum,13.294419288635254,-43.69022750854492
108,terms,7.346911907196045,-40.2918701171875
109,infinite,9.44836711883545,-41.06686782836914
110,sequence,9.256082534790039,-43.134056091308594
111,numbers,12.078776359558105,-34.557891845703125
112,displaystyle,13.205817222595215,-44.160892486572266
113,left,10.555355072021484,-44.113304138183594
114,dots,11.346120834350586,-43.731632232666016
115,right,-11.55300235748291,-24.540756225585938
116,partial,9.525099754333496,-39.67918014526367
117,S,23.518457412719727,-50.0057258605957
118,k,13.774503707885742,-45.99635314941406
119,A,-17.84520721435547,38.884212493896484
120,convergent,12.60872745513916,-37.342098236083984
121,if,23.918031692504883,-16.568702697753906
122,sums,9.40968132019043,-39.63658905029297
123,tends,52.06406784057617,-10.629255294799805
124,limit,11.739527702331543,-42.416114807128906
125,means,-4.158122539520264,-41.50746536254883
